Заголовок;Ссылка на изображение;car link;Марка;Год;Описание;Кол-во людей;Кол-во дверей;Коробка передач;1-2 дня;3-6 дней;7-14 дней;15-30 дней;1-2 месяца;Залог;rt1;rt2;rt3;rt4;rt5;rt6;limit;orun;ch1;ch2;ch3;ch4;ch5;ch6;ch11;ch12;ch13;ch14;ch15;nolimit;fullprotect;img1;img2;img3;img4;img5;img6;img7;img8;img9;img10;img11;img12;img13;img14;img15;class
Kia Rio IV 1.4 AT;https://www.avtomaxi.ru/upload/resize_cache/iblock/04f/205_134_1/04f00fc0cc58f9c93571c89e5e77e57e.jpg;https://www.avtomaxi.ru/park/all/kia-rio-iv-1-4-at-/;KIA;2019;Четвертое поколение самого популярного седана от КИА  богатой комплектации с мотором 1,4 л.;5;4;Aвтомат;2900;2755;2610;2465;2320;10000;Водительский стаж не менее 2 лет;Минимальный возраст 21 год;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 7 P / км;Бензиновый 1,4;100 л.с. ;183 км/ч;12,9 с;6.4 л/100 км;Автоматическая;Передний;5;4400 мм;480 л;2019;600;600;https://www.avtomaxi.ru/upload/resize_cache/iblock/431/498_374_1/431147b42a64af9b5b273c27d64e19f7.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/5f0/498_374_1/5f02bd11e9ef476883eedb0457ad1361.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/8ed/498_374_1/8ed41f108a80f632ffb39cae70e087f5.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/cd1/498_374_1/cd1fecdf40b96c2edb47f75bada9afef.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/415/498_374_1/4153a0523ab1b962cdd23501875b336b.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/1ba/498_374_1/1bac96af673feae3f98887056a462459.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/8c4/498_374_1/8c4f89cd9068db64c4972d06674ce3c2.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/039/498_374_1/03964bb8cfd000173ecc71ad2e38776b.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/871/498_374_1/871fddae50ccf2b1db02a9b755539e02.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/0d0/498_374_1/0d0989ed0ffb6e8fab7c0d9e1f874085.JPG;;;;;;Эконом
Kia Rio IV 1.6 AT Luxe;https://www.avtomaxi.ru/upload/resize_cache/iblock/1ea/205_134_1/1ea6ea0225d9ab69cc4be561675a083c.jpg;https://www.avtomaxi.ru/park/all/kia-rio-iv-at-luxe/;KIA;2019-20;Аренда Кио Рио в Москве. Четвертое поколение самого популярного седана от КИА  богатой комплектации с мощным мотором 1,6 л.;5;4;Aвтомат;3000;2850;2700;2550;2400;10000;Водительский стаж не менее 2 лет;Минимальный возраст 21 год;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 7 P / км;Бензиновый 1,6;123 л.с. ;192 км/ч;11.2 с;6.6 л/100 км;Автоматическая;Передний;5;4400 мм;480 л;2019-2020;600;600;https://www.avtomaxi.ru/upload/resize_cache/iblock/1a9/498_374_1/1a9ad36c4d174ead5409461433fc6892.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/e77/498_374_1/e77204c05015b8dd763a2ee389137ded.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/165/498_374_1/165af9bee2a48c6dc47d62567649acf7.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/2e1/498_374_1/2e15da1e311c14d4f38bed658cc3a0fe.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/5d6/498_374_1/5d6231a601a507cdbb93290e0487a5ae.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/445/498_374_1/445c69ef9829e935485fb1dc24d4387b.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/d9c/498_374_1/d9c0bb00aa32df318da6db5d71914910.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/288/498_374_1/288f43503edb77adb9fdb5abb86c76ca.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/ade/498_374_1/ade04287333d24ff29a971bbcf3fb393.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/f25/498_374_1/f252907476a55ce7ecacd2c9800ed7d9.JPG;;;;;;Эконом
Volkswagen Polo sedan AT;https://www.avtomaxi.ru/upload/resize_cache/iblock/d18/205_134_1/d1892bece6ad309279ae3b79ad177a57.jpeg;https://www.avtomaxi.ru/park/all/volkswagen-polo_sedan/;Volkswagen;2019-20;Volkswagen Polo sedan 2019-20 г.в. - строгий седан классической формы, надёжность которого не подвергается сомнению. Оснащён экономичным движком и автоматом.;5;4;Aвтомат;3000;2850;2700;2550;2400;10000;Водительский стаж не менее 2 лет;Минимальный возраст 21 год;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 7 P / км;Бензиновый;105 л.с.;187 км/ч;12.1 с;7 л/100 км;Автоматическая;Передний;5;4384 мм;460 л;2019-2020;600;600;https://www.avtomaxi.ru/upload/resize_cache/iblock/408/498_374_1/408873db406d5e8fe1bc02a4c4ddb87f.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/f2e/498_374_1/f2eddfc34eb5f01809089946dd3fb767.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/be6/498_374_1/be635815f5b663e5cefabe0617964923.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/c2c/498_374_1/c2ca7ec5e14c2a376793b1d4d7c41236.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/44b/498_374_1/44be90198c029c6ab63126054c941d29.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/d50/498_374_1/d50a5d55a507ed4d7a1df560c928f7ec.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/c2c/498_374_1/c2c47d0207504c081375fa8be10a544e.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/fa5/498_374_1/fa54eb9ead1a460f518d0b07d760e2ce.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/45c/498_374_1/45c39320fbfdfd7abdb10fbbd0a71754.JPG;;;;;;;Эконом
Hyundai Solaris II 1.6 AT;https://www.avtomaxi.ru/upload/resize_cache/iblock/681/205_134_1/681b84ff4bdb16924db2b8e1a38ab1ca.jpeg;https://www.avtomaxi.ru/park/all/hyundai-solaris-ii/;Hyundai;2019-2020;Аренда Хендай Солярис без залога. Новейший Hyundai Solaris 1.6 sedan второго поколения 2019г. - стиль, красота, комфорт и практичность в одном лице!;5;4;Aвтомат;3000;2850;2700;2550;2400;10000;Водительский стаж не менее 2 лет;Минимальный возраст 21 год;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 7 P / км;Бензиновый 1,6;123 л.с.;180 км/ч;11.2 с;6.6 л/100 км;Автоматическая;Передний;5;4505 мм;480 л;2018-19;600;600;https://www.avtomaxi.ru/upload/resize_cache/iblock/dd9/498_374_1/dd989d96222cb1cd5e0178ce1e12e6a0.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/7ba/498_374_1/7bad355b07ad425a719e03eed0c62469.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/244/498_374_1/244a62ed28c53fa1ae1894b1d58d6724.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/66b/498_374_1/66be3a92a8e353c7acaacecce1b64e5a.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/1bd/498_374_1/1bdd50d110186b054ac5f84c9a684783.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/959/498_374_1/959f8bfd92e3722b04dd3b4ce4fd612a.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/1b2/498_374_1/1b2583a090ebe09c07bb53db3cb4f40b.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/818/498_374_1/818e0a5c47256367c1c1d6a59861511d.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/abd/498_374_1/abde01b5b8c84031abf851ed5711db21.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/cbf/498_374_1/cbf9d379e9246d20e38292d7646c6de2.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/bf1/498_374_1/bf12e405df363b92ccc1bcdd166f2f57.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/4a4/498_374_1/4a4b48db54b476d4ed181b17ed51d42e.JPG;;;;Эконом
Skoda Rapid AT;https://www.avtomaxi.ru/upload/resize_cache/iblock/bf7/205_134_1/ra.jpg;https://www.avtomaxi.ru/park/all/skoda-rapid-at-new/;Skoda;2019-2020;Аренда Шкода Рапид 2019-20г без залога - большой лифтбек, с огромным багажником и классической внешностью.;5;4;Aвтомат;3100;2945;2790;2635;2480;10000;Водительский стаж не менее 2 лет;Минимальный возраст 21 год;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 7 P / км;Бензиновый;105 л.с. ;192 км/ч;11.9 с;7.5 л/100 км;Автоматическая;Передний;5;4483 мм;530 л;2018-2020;600;600;https://www.avtomaxi.ru/upload/resize_cache/iblock/60e/498_374_1/60e49a434fb253565ffa154326ce1be1.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/c6f/498_374_1/c6f047e588589669cb370d1a7c5f935a.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/057/498_374_1/057960ec2c4a5663a240dc3a0a45c1d1.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/b3e/498_374_1/b3ea6dd361524352a467a30dafc85dcc.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/17f/498_374_1/17fa2704ba96ee2714b75b92bb37ede2.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/da2/498_374_1/photo4-2.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/434/498_374_1/4345a41f4b7a91d20690f834485209f8.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/497/498_374_1/4979e7f26df79cdb2b2408657b934caf.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/840/498_374_1/840d24224d36a384ccafb82649101b0f.JPG;;;;;;;Стандарт
Hyundai Solaris II 1.4 rest.2020;https://www.avtomaxi.ru/upload/resize_cache/iblock/bbf/205_134_1/bbfd478e5ef570c01a12e788b8073c52.jpg;https://www.avtomaxi.ru/park/all/hyundai-solaris-ii-1-4-rest-2020-/;Hyundai;2020;Новейший Hyundai Solaris седан 1.4 AT РЕСТАЙЛИНГ 2020г. - новое воплощение популярной модели!;5;4;Aвтомат;3200;3040;2880;2720;2560;10000;Водительский стаж не менее 2 лет;Минимальный возраст 21 год;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 7 P / км;Бензиновый 1,6;100 л.с.;183 км/ч;12.9 с;6.4 л/100 км;Автоматическая;Передний;5;4405 мм;480 л;2020;600;600;https://www.avtomaxi.ru/upload/resize_cache/iblock/cb9/498_374_1/cb939c8849282f8569431cd3d792aa04.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/122/498_374_1/122b4d3a1c9ec087e233cce6776a8417.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/c2f/498_374_1/c2f8559793b93e43df7366e4ad177d75.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/d96/498_374_1/d965c87f04e7706fb7bce843ed61ce21.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/03c/498_374_1/03c89b059141386a871374bbb4634797.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/303/498_374_1/303d6eac693a301b5428d43e5d37ebe9.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/044/498_374_1/044c6c96d916f0364aae27b9e5a7e7db.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/630/498_374_1/6309d141dc1135055a7485133019449d.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/813/498_374_1/81398a00f625ba57dfd37b93228c6212.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/bf5/498_374_1/bf51cf9021a63b19492b55cbc1725943.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/3c5/498_374_1/3c5edf2084c6c2fe51cb41b7b8f81435.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/0d1/498_374_1/0d1e0f2e374cd2f3a6c04aafc18d2d6c.JPG;;;;Эконом
Hyundai Solaris II 1.6 rest.2021;https://www.avtomaxi.ru/upload/resize_cache/iblock/e4a/205_134_1/e4a488bcb8dc817195ae64f0a4b060ff.png;https://www.avtomaxi.ru/park/all/hyundai-solaris-ii-1-6-rest-2021-/;Hyundai;2021;Новейший Hyundai Solaris седан 1.6 AT РЕСТАЙЛИНГ. В комплектации Active Plus 2021г.;5;4;Aвтомат;3300;3135;2970;2805;2640;10000;Водительский стаж не менее 2 лет;Минимальный возраст 21 год;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 7 P / км;Бензиновый 1,6;123 л.с.;192 км/ч;11.2 с;6.6 л/100 км;Автоматическая;Передний;5;4505 мм;480 л;2021;700;700;https://www.avtomaxi.ru/upload/resize_cache/iblock/25c/498_374_1/25c6d8fe67a8c08cb84e4bb328540d14.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/5a6/498_374_1/5a67e9c03b0472fdc57fe6c0cc2db777.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/04a/498_374_1/04a44a3d077de5f66f3746347f226edc.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/571/498_374_1/5716eaa93af889e572e05000632ba1a9.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/ea5/498_374_1/ea59e4d86a660c074bb4c5e2bde41c3f.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/126/498_374_1/1268a323eae057cea1e70d5dd4eb2eb0.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/75e/498_374_1/75ead92d5cceb4a25fc57088ffef66a6.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/9da/498_374_1/9da09b5440d3f060d8328855ce7cbd0c.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/fa4/498_374_1/fa466ba4ab4107366432c5ab96edd431.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/e75/498_374_1/e75fab10d7d9a6e642d6edb48e16071b.JPG;;;;;;Эконом
Volkswagen Polo лифтбек 2020;https://www.avtomaxi.ru/upload/resize_cache/iblock/04e/205_134_1/04ed5cfde166f11c17627902389f98c5.jpeg;https://www.avtomaxi.ru/park/all/volkswagen-polo-liftbek-2020/;Volkswagen;2020;Volkswagen Polo 2020 г.в. - новейший лифтбек классической формы, надёжность которого не подвергается сомнению. Оснащён экономичным движком и автоматом.;5;4;Aвтомат;3400;3230;3060;2890;2720;10000;Водительский стаж не менее 2 лет;Минимальный возраст 21 год;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 7 P / км;Бензиновый;110 л.с.;190 км/ч;11.8 с;6.6 л/100 км;Автоматическая;Передний;5;4469 мм;530 л;2020;700;700;https://www.avtomaxi.ru/upload/resize_cache/iblock/13d/498_374_1/13ddf46f347257ba7cd693fceab9f343.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/dc3/498_374_1/dc32cc0b589523afe1ea1fe41063b82a.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/aac/498_374_1/aac7cf2d47c8ba5e308f4e4891a87c2d.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/492/498_374_1/492ca1ca1774f408db9fc54972e2c665.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/6e4/498_374_1/6e4a772b97c7efe2eb0a487eb6d2660f.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/12a/498_374_1/12ae095eec0d44c36da51aa6a4b2dea8.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/d36/498_374_1/d36946be998684d1e679f929ba400e2a.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/981/498_374_1/981861359ba5df1420ec021a3ba14454.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/6ea/498_374_1/6eaf1e4bc1c1a0cac5ad528731b2b5b6.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/96c/498_374_1/96cb8d86ddb0764a4eb659d3a97fd5aa.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/b26/498_374_1/b26c69f273c600d573e5b50dafa27398.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/d9b/498_374_1/d9b23fac8fdcea7088e0ec90cca62e19.jpeg;;;;Эконом
Hyundai Solaris II 1.6 Comfort rest.2020;https://www.avtomaxi.ru/upload/resize_cache/iblock/6dc/205_134_1/6dc6eda1d009812410c312201bf0f912.jpeg;https://www.avtomaxi.ru/park/all/hyundai-solaris-ii-1-6-comfort-rest-2020-/;Hyundai;2020-21;Новейший Hyundai Solaris седан 1.6 AT РЕСТАЙЛИНГ. В богатой комплектации Comfort  - новое воплощение популярной модели!;5;4;Aвтомат;3400;3230;3060;2890;2720;10000;Водительский стаж не менее 2 лет;Минимальный возраст 21 год;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 7 P / км;Бензиновый 1,6;123 л.с.;192 км/ч;11.2 с;6.6 л/100 км;Автоматическая;Передний;5;4505 мм;480 л;2020-21;700;700;https://www.avtomaxi.ru/upload/resize_cache/iblock/f05/498_374_1/f057040faf2a939b99acc71de3ca6d69.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/feb/498_374_1/febbefa178d45ee7602e3e380cb98de5.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/f03/498_374_1/f0370436fada18032307e92ac6ffe555.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/c25/498_374_1/c258c4aa9484eaa33b37ecbd86f77cc7.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/f53/498_374_1/f530690dea4a6194fae916b18fe05fcd.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/511/498_374_1/5117a516f6186717797ea2c81ceb9abd.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/102/498_374_1/10263f46a3c6803430941ddc3b9df710.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/2c4/498_374_1/2c4841e10981e2e74852a590a2a0f3c9.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/402/498_374_1/402c4369b52768712dd8e5c3849f59b0.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/125/498_374_1/125f2b0c65db3c29e1eede7c83a9f4b9.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/8e9/498_374_1/8e97016555700cc091d3bb8fe30c24f1.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/9cd/498_374_1/9cd3303c91295354bc5cc5bd60603a8c.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/ace/498_374_1/ace8dd2c673bcaf7259c6213b0c1d42c.JPG;;;Эконом
Skoda Rapid rest.2020;https://www.avtomaxi.ru/upload/resize_cache/iblock/68c/205_134_1/68c8d1f10c20557fd25d3ef702b10d5c.jpeg;https://www.avtomaxi.ru/park/all/skoda-rapid-rest-2020/;Skoda;2020;Аренда Шкода Рапид 2020г без залога - новейший большой лифтбек, с огромным багажником и классической внешностью.;5;4;Aвтомат;3500;3325;3150;2975;2800;10000;Водительский стаж не менее 2 лет;Минимальный возраст 21 год;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 7 P / км;Бензиновый;110 л.с. ;190 км/ч;11.8 с;6.1 л/100 км;Автоматическая;Передний;5;4485 мм;530 л;2020;700;700;https://www.avtomaxi.ru/upload/resize_cache/iblock/2e5/498_374_1/2e54232f05a523e48e2219d5de9db4ea.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/dc2/498_374_1/dc2432cdd01be6481eb2b3f3786b273c.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/5dd/498_374_1/5ddfa8d1c71e37ab6301a3b6e62243a8.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/b5f/498_374_1/b5fa27ec4e5e63fa65afa2582441e4f5.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/73a/498_374_1/73a18979315fc760e8669875ab6f9e80.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/2ee/498_374_1/2ee759dd5df7d18fbf224e2bbb492b81.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/bb7/498_374_1/bb7a236b8e5eb2592ae5aa4728ef002e.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/ff9/498_374_1/ff978f72274b1475ba52b179a7c6b0ea.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/b15/498_374_1/b15578a4019757c61ee009aafbc46d84.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/f88/498_374_1/f88aa184882cc28375e7d5c28e717af2.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/0ee/498_374_1/0eee75dab074304830edc13155a146cd.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/c9d/498_374_1/c9d79bb2c82253892edcf0aa0cb17e06.JPG;;;;Стандарт
